Drug,Use,category,first trimester ,second trimester,third trimester,breast feeding  (caution concerning the infant to be made),Interaction
Amoxicillin/Clavulanate,Antibiotics,B1,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindicated in:-
. Hypersensitivity to amoxicillin, clavulanic acid, other beta-lactams (penicillins, cephalosporins), or formulation components
. history of cholestatic jaundice or hepatic dysfunction with amoxicillin/clavulanate
contact your physician if one of the following appears : 
Watery diarrhea or diarrhea with blood and mucus.
Severe stomach cramps or pain, possibly with a high fever.
Severe vomiting, especially within 1 to 4 hours after taking the medicine.
Skin rash that blisters, peels, or looks like small target spots.
Itching, hives, or swelling of the face, lips, mouth, tongue, throat, or eyes.
Difficulty breathing, wheezing, or swallowing.
Return of fever, sore throat, chills, or signs of infection after starting treatment.
Yellowing of the skin or eyes (jaundice), dark urine, pale stools, loss of appetite, unusual tiredness, or bruising more easily than normal.
Severe allergic reactions, including anaphylaxis.
Symptoms of drug-induced enterocolitis syndrome such as repeated vomiting soon after taking the medicine, severe diarrhea, extreme tiredness, pale skin, low blood pressure, dizziness, or confusion."
Azithromycin,Antibiotics,B1,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"conraindicated in :
Allergy to azithromycin, erythromycin, or similar antibiotics (macrolides/ketolides).
Past liver problems or jaundice caused by azithromycin.
Should not be taken with pimozide (a heart medicine).
use with caution in :
After stem cell transplant: Long-term use of azithromycin was linked to higher risk of cancer coming back and increased death rates, so it’s not recommended in this setting.
Gonorrhea or syphilis: This medicine can hide or delay symptoms. Your doctor should do proper tests before starting treatment.
Muscle weakness (myasthenia gravis): If you have this condition, azithromycin may make symptoms worse or cause new ones — use only under close doctor supervision.
contact your physician if any of these symptomps appear:
Heart problems related to altered heart rhythm, including:
Prolonged QT interval (a heart test showing delayed electrical recovery)
Polymorphic ventricular tachycardia (dangerous rapid heartbeats)
Torsades de pointes (a life-threatening heart rhythm problem)
Symptoms can appear from minutes to days after starting treatment
Risk factors include being female, older age, heart disease, electrolyte imbalances, and certain medications
Clostridioides difficile infection (CDI), causing:
Severe diarrhea including fever, abdominal pain, and inflammation of the colon
This can start anytime from the first day of antibiotic therapy up to 3 months afterward
Drug-induced liver injury, which can cause:
Symptoms like yellowing of the skin or eyes, severe stomach pain, nausea, vomiting, or fatigue
Usually occurs within 1 to 3 weeks of starting azithromycin
Severe skin reactions (delayed hypersensitivity), such as:
Rash, blisters, Stevens-Johnson syndrome, and toxic epidermal necrolysis
Can start within days to weeks after drug exposure
Severe allergic reactions (immediate hypersensitivity) including:
Swelling of face, lips, tongue, throat
Trouble breathing, anaphylaxis (severe allergic reaction)
Hearing problems (ototoxicity) such as:
Hearing loss
Ringing in the ears (tinnitus)
Usually reversible but rare cases of permanent hearing loss reported"
Cefalexin,Antibiotics,A,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"- use with caution in :
.patients with penicillin allergy (particularly IgE-mediated reactions such as anaphylaxis, angioedema, urticaria).
.patients with history of seizures especially with patients with renal impairement may increase the risk of seizure
.patients with penicillin allergy
contraindicated in:
.Hypersensitivity to cephalexin, other cephalosporins, or any component of the formulation
contact your physician if you have one of the following:
Severe diarrhea, watery or bloody stools, with stomach cramps or fever.
Signs of a serious allergic reaction such as skin rash, itching, hives, swelling of the face, lips, tongue, throat, or eyes.
Difficulty breathing, wheezing, or trouble swallowing.
Fever, sore throat, chills, or other signs of infection that do not improve or return.
Skin reactions like blistering, peeling, or loosening of the skin.
Yellowing of the skin or eyes (jaundice), dark urine, pale stools, loss of appetite, or unusual tiredness.
Severe headache, confusion, agitation, hallucinations, or dizziness.
Joint or muscle pain.
Severe abdominal or stomach pain.
Signs of hemolytic anemia (rare blood disorder), such as unusual tiredness, weakness, or dark urine.
Signs of Stevens-Johnson syndrome or toxic epidermal necrolysis (severe skin reactions)."
Ceftriaxone,Antibiotics,B1,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindications: 
Should not be given with calcium-containing solutions (such as Ringer’s), even if they are infused in different body sites.
-Use with caution:
 in patients with concurrent hepatic dysfunction (impaired biliary excretion) and severe kidney disease; dosing adjustments may be recommended.
contact your physician if any of these symptombs appear :
Severe diarrhea, watery or bloody stools, abdominal cramps, or blood/mucus in the stool, possibly due to Clostridioides difficile infection.
Signs of allergic reaction such as rash, itching, swelling of face/lips/tongue/throat, trouble breathing, severe dizziness.
Severe skin reactions including Stevens-Johnson syndrome, toxic epidermal necrolysis, acute generalized exanthematous pustulosis, and drug reaction with eosinophilia and systemic symptoms.
Immune hemolytic anemia (a rare blood disorder), with symptoms like unusual tiredness, weakness, dark urine, or pallor.
Problems with the gallbladder or bile flow such as gallbladder sludge, cholelithiasis, pseudolithiasis, and pancreatitis.
Severe liver problems including hepatitis, cholestatic jaundice, and increased liver enzymes.
Kidney problems such as nephrolithiasis (kidney stones), urolithiasis, pigment nephropathy, urinary sludge, or acute renal failure.
Nervous system effects such as encephalopathy, seizures, confusion, agitation, dizziness, hallucination, headache, tremors.
Serious allergic reactions including anaphylaxis, angioedema, and serum sickness.
Respiratory issues like bronchospasm or hypersensitivity pneumonitis. "
Cefazolin,Antibiotics,B1,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindicated in :
Immediate hypersensitivity (eg, anaphylaxis, serious skin reactions) to cefazolin, other cephalosporin antibiotics, penicillins, other beta-lactams, or any component of the formulation.
use with caution:
 GI disease: Caution, especially with colitis history.
- Renal impairment: Caution; dose adjustment needed.
- Seizure disorders: Caution; high levels (esp. with renal impairment) ↑ seizure risk.
contact your phsysician if any of these happened: 
Severe diarrhea, especially if watery, bloody, or with stomach cramps and fever.
Signs of a serious allergic reaction like itching, hives, swelling of the face, lips, tongue, throat, or mouth, difficulty breathing or swallowing.
Rash that blisters, peels, or causes skin pain.
Yellowing of the skin or eyes, dark urine, pale stools, fatigue, or loss of appetite.
Signs of blood problems such as easy bruising or bleeding, weakness, light-headedness, or unusual tiredness.
Seizures or uncontrollable shaking.
Pain, swelling, or redness where the medicine was given.
Severe stomach cramps or abdominal pain.
Signs of kidney problems like decreased urination, swelling in legs or feet, or feeling very tired.
Confusion, dizziness, hallucinations, or severe headache.
Fever, chills, sore throat, or other signs of infection that do not improve or return."
Erythromycin,Antibiotics,A,safe but used with caution,safe but used with caution,safe but used with caution,use with caution,"conraindications :
You are allergic to erythromycin, other “macrolide” antibiotics, or any ingredient in the medicine.
Some heart medicines (cisapride, pimozide),Certain migraine medicines (ergotamine, dihydroergotamine),Some cholesterol medicines (lovastatin, simvastatin),Some allergy medicines (astemizole, terfenadine).
If you have a history of heart rhythm problems (like QT prolongation or arrhythmia).
If you have low potassium or low magnesium in your blood.
If the medicine would be given by IV push/bolus (not allowed).
use with caution:
patients with liver disease, and stop the medicine and call your doctor if you develop signs of liver problems (tiredness, nausea, vomiting, stomach pain, fever, or yellowing of skin/eyes).
Muscle weakness (myasthenia gravis):This medicine may make symptoms worse, or sometimes cause new muscle weakness.
contact the physician if any of these happens:
Severe or watery diarrhea, especially if it contains blood or does not go away.
Skin rash that is blistering, peeling, or causes swelling.
Difficulty breathing, wheezing, or swelling of the face, lips, tongue, or throat.
Yellowing of the skin or the whites of the eyes (jaundice), dark urine, or pale stools.
Fast, pounding, or uneven heartbeat.
Severe stomach pain or cramps, possibly with fever.
Seizures or fits.
Feeling very dizzy, fainting, or chest pain.
Swollen lymph nodes or fever that doesn't get better.
Unusual tiredness, weakness, or confusion.
New or worsening hearing problems or ringing in the ears."
Metronidazole,Antibiotics,B2,contraindicated,use with caution,use with caution,use with caution,"Contraindications (Do NOT use this medicine if):
It should not be used if there is an allergy to metronidazole, other similar antibiotics (nitroimidazoles), or any ingredient in the medicine.
It should not be used in the first 3 months of pregnancy for trichomoniasis (except with a product called Likmez).
It should not be used if disulfiram has been taken within the past 2 weeks.
It should not be used if alcohol or products containing alcohol/propylene glycol are consumed during treatment or within 3 days after stopping.
It should not be used in people with Cockayne syndrome (a rare genetic condition).
According to Canadian guidance, it should not be used in patients with serious neurological problems, blood disorders, thyroid problems, or adrenal gland problems.
Use with Caution:
Liver problems (hepatic impairment): May build up in the body; dose changes might be needed if liver disease is severe.
Kidney problems (renal impairment): May build up in the body; dose changes may be required.
Seizure disorders: Use carefully if you have a history of seizures.
contact your phsician if any of these happened:
Feeling confused, disoriented, or having trouble speaking.
Seizures or convulsions.
New or worsening numbness, tingling, burning, or weakness in arms or legs.
Severe headaches or dizziness.
Sudden vision changes, blurred or double vision, or pain in the eyes.
Severe stomach pain, nausea, vomiting, or loss of appetite.
Yellowing of the skin or eyes (jaundice), dark-colored urine, or pale stools.
Severe skin reactions such as rash, blistering, peeling, or painful red/purple skin.
Signs of allergy: swelling of face, lips, tongue, or throat, difficulty breathing, itching, or hives.
Fever, severe sore throat, bruising, bleeding gums, or signs of infection.
Stiff neck or dislike of bright lights (possible signs of meningitis).
Hearing loss, ringing in ears, or other ear problems."
Nitrofurantoin,Antibiotics,A,use with caution ,safe but used with caution,use with caution,use with caution,"Contraindications:
It should not be used if there is an allergy to nitrofurantoin or any ingredient in the medicine.
It should not be used in people with severe kidney problems (very little or no urine, poor kidney function, or high creatinine levels).(CrCl <60 mL/min)
It should not be used if liver problems (such as jaundice or liver injury) occurred previously from nitrofurantoin.
It should not be used at the end of pregnancy (weeks 38–42), during labor, or when labor is about to begin.(safe except the last four weeks )
It should not be used in newborn babies under 1 month old, because of the risk of a serious blood problem (hemolytic anemia).
avoid in infants less than one month of age and also in infants of G6PD
Use with Caution
Blood problems (hemolytic anemia):
Extra caution should be taken in people with G6PD deficiency, as the risk of hemolytic anemia is higher.
Treatment should be stopped if this reaction occurs.
Liver problems:
Use is not allowed if liver injury or jaundice has previously been caused by nitrofurantoin.
Kidney problems:
Caution should be taken in people with reduced kidney function, since the medicine may not work properly.
It should generally not be used if creatinine clearance (CrCl) is below 60 mL/min.
Some studies suggest it may still be safe for short-term use if CrCl is between 30–60 mL/min.
contact  your physician if one of these happened :
Severe or watery diarrhea, especially with blood or mucus, which may be a sign of a serious gut infection.
Yellowing of the skin or the whites of the eyes (jaundice), dark urine, or pale stools, which could indicate liver problems.
Severe tiredness, weakness, or feeling unwell, which might be from blood or liver issues.
New or worsening cough, chest pain, shortness of breath, or fever, which could mean a serious lung problem.
Numbness, tingling, burning, or weakness in your hands or feet that doesn’t go away.
Skin reactions such as rash, peeling, redness, or painful skin.
Severe allergic reactions like swelling of the face, lips, tongue, or throat, difficulty breathing or swallowing, and hives.
Confusion, dizziness, seizures, or other serious nervous system problems.
Joint or muscle pain lasting or severe.
Blurred or decreased vision or changes in eye movements.
Fever with chills or signs of infection.
"
Penicillin G (procaine),Antibiotics,A,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"Contraindications
Hypersensitivity to any penicillin or any component of the formulation is to be avoided.
use with caution:
Kidney problems: Extra care should be taken if there is severe kidney disease, as the dose may need to be changed.
Seizures: Extra care should be taken if there is a history of seizures, since the risk may increase, especially when kidney function is poor.
contact your physician if any of the following happened :
Severe allergic reaction (anaphylaxis): trouble breathing, swelling of face/lips/throat, feeling faint.
Nervous system effects: confusion, dizziness, seizures, or unusual movements.
Serious bowel infection (C. difficile colitis): severe or bloody diarrhea, stomach pain, fever.
Severe skin reaction (exfoliative dermatitis): widespread skin peeling or blistering.
Other allergic reactions: rash, itching, swelling, or difficulty breathing.
Jarisch–Herxheimer reaction: fever, chills, headache, and muscle pain after starting treatment for certain infections.
Widespread rash (maculopapular rash): flat or raised red spots on the skin.
Serum sickness-like reaction: fever, rash, and painful joints.
Skin rash: mild to moderate redness or irritation.
Hives (urticaria): raised, itchy, red bumps on the skin.
"
Penicillin G (benzathine),Antibiotics,A,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindication :
Hypersensitivity to penicillin(s) or any component of the formulation
use with caution :
Kidney problems: Extra care should be taken if there is reduced kidney function.
Seizures: Extra care should be taken if there is a history of seizures, as the risk may be higher, especially with kidney problems.
contact your physician if any of these symptombs appear :
Severe allergic reactions that can cause difficulty breathing, swelling, or a sudden drop in blood pressure (anaphylaxis)
Serious skin reactions with blisters, peeling, or severe rash (Stevens-Johnson syndrome or toxic epidermal necrolysis)
Blood clots in the lungs (pulmonary embolism) that can cause chest pain or shortness of breath
Stroke causing sudden weakness, numbness, confusion, or trouble speaking
Loss of consciousness or coma
Seizures or convulsions
Inflammation of the spinal cord which may cause weakness or numbness in the body
Loss of vision or blindness
Kidney problems or kidney failure
Swelling in the throat that can make breathing difficult (laryngeal edema)
Severe diarrhea caused by infection in the intestines which could be serious
Severe tissue damage or death of skin near the injection site or elsewhere (gangrene, tissue necrosis)"
